Lens ID,Title,Publication Year,Publication Type,Publisher,Source Country,Fields of Study,Keywords,DOI,Citing Works Count
196-828-638-416-522,A biodegradable multi-platform tolerant passive UHF RFID tag antenna for short-life cycle IoT applications,2021,conference proceedings article,IEEE,India,Ultra high frequency; Bandwidth (computing); Computer science; Internet of Things; Antenna (radio); Electronic engineering; Transceiver; Electrical engineering; Embedded system; Materials science; Engineering; Telecommunications; Wireless,,10.1109/incap52216.2021.9726371,3
015-351-303-414-606,A Compact and Flexible UHF RFID Tag Antenna for Massive IoT Devices in 5G System.,2020,journal article,MDPI,Switzerland,Electrical engineering; Radio-frequency identification; Antenna (radio); 5G; Smart city; Context (language use); Construct (python library); Computer science; Wireless; Ultra high frequency,5G systems; I-RFID; IoT; meandering angle technique (MAT); passive UHF tag; plausible read range; smart cities,10.3390/s20195713,18
024-559-011-780-283,A Reactive Inkjet Printing Process for Fabricating Biodegradable Conductive Zinc Structures,2022,journal article,Wiley,United Kingdom,Materials science; Inkwell; Etching (microfabrication); Nanotechnology; Conductive ink; Polylactic acid; Zinc; Screen printing; Printed electronics; Electrical conductor; Conductivity; Optoelectronics; Layer (electronics); Polymer; Composite material; Chemistry; Sheet resistance; Physical chemistry; Metallurgy,,10.1002/adem.202200529,6
033-891-798-350-682,"A Review on Printed Electronics: Fabrication Methods, Inks, Substrates, Applications and Environmental Impacts",2021,journal article,MDPI ,Finland,The Internet; Automation; Manufacturing engineering; Engineering; Renewable energy; Printed electronics; Fabrication methods; Information and Communications Technology,,10.3390/jmmp5030089,61
014-275-432-355-907,Application of Lifecycle Measures for an Integrated Method of Environmental Sustainability Assessment of Radio Frequency Identification and Wireless Sensor Networks,2021,journal article,MDPI ,Switzerland,Supply chain; Risk analysis (engineering); Radio-frequency identification; Wireless sensor network; Context (language use); Computer science; Process (engineering); Duration (project management); Sustainability; Technology assessment,,10.3390/en14102794,5
066-982-298-290-055,Bio-Based Polymeric Substrates for Printed Hybrid Electronics.,2022,journal article,MDPI ,Switzerland,Materials science; Printed electronics; Flexible electronics; Sheet resistance; Polyethylene terephthalate; Conductive ink; Cellulose; Substrate (aquarium); Composite material; Inkwell; Nanotechnology; Chemical engineering; Oceanography; Layer (electronics); Geology; Engineering,biopolymer films; flexible hybrid electronics; flexible printed electronics; renewable-based substrate; screen-printing; surface energy,10.3390/polym14091863,15
048-887-417-951-55X,Biodegradable deployment apparatus for environmentally-friendly RFID-based sensors,2022,conference proceedings article,IEEE,Canada,Software deployment; Environmentally friendly; Work (physics); Computer science; Embedded system; Engineering; Mechanical engineering; Software engineering; Ecology; Biology,,10.1109/ap-s/usnc-ursi47032.2022.9887298,0
086-975-287-015-867,Biodegradable electronics: cornerstone for sustainable electronics and transient applications,2016,journal article,RSC,United Kingdom,Risk analysis (engineering); Electronics; Nanotechnology; Environmentally friendly; Materials science; Management system; Electronic waste; Interfacing; Cornerstone; Transient (computer programming); Inorganic materials,,10.1039/c6tc00678g,180
113-581-337-379-366,Compact Biodegradable UHF RFID Tag for Short Life Cycle Applications,2021,conference proceedings article,IEEE,India,Ultra high frequency; Reading (process); Antenna (radio); Monopole antenna; Computer science; Inkwell; Electrical engineering; Acoustics; Electronic engineering; Engineering; Physics; Speech recognition; Political science; Law,,10.1109/incap52216.2021.9726482,4
154-615-646-516-475,Compact Green Harmonic Transponders for Parcel Tracking,2023,journal article,IEEE,Italy,Antenna (radio); Harmonic; Transponder (aeronautics); Effective radiated power; Electrical engineering; Patch antenna; Ultra high frequency; Electromagnetic interference; Acoustics; Engineering; Physics; Electronic engineering; Telecommunications; Computer science; Aerospace engineering,,10.1109/jrfid.2023.3262022,3
091-964-539-776-652,Debossed Contact Printing as a Patterning Method for Paper-Based Electronics.,2023,journal article,ACS,United States,Materials science; Printed electronics; Fabrication; Electronics; Inkwell; Nanotechnology; Substrate (aquarium); Screen printing; Flexible electronics; Porosity; Composite material; Electrical engineering; Medicine; Oceanography; Alternative medicine; Pathology; Geology; Engineering,additive manufacturing; debossing; green electronics; paper electronics; printed electronics; roller printing,10.1021/acsami.3c07035,0
040-115-411-255-472,Design of Inkjet-Printed RFID-Based Sensor on Paper: Single- and Dual-Tag Sensor Topologies.,2018,journal article,MDPI,Switzerland,Dual (category theory); Set (abstract data type); Network topology; Electrical conductor; Electronic engineering; Computer science; Scalability; Wireless,RFID-enabled sensor; inkjet-printed sensor; paper electronics; self-sustainable wireless sensor; wireless sensor,10.3390/s18061958,23
081-452-580-283-09X,"Design, fabrication and applications of flexible RFID antennas based on printed electronic materials and technologies",2023,journal article,RSC,United Kingdom,Fabrication; Materials science; 3d printed; Nanotechnology; Optoelectronics; Manufacturing engineering; Engineering; Medicine; Alternative medicine; Pathology,,10.1039/d2tc03736j,13
112-478-749-981-546,Development of a Low Cost Printable Chipless RFID Humidity Sensor,2014,journal article,IEEE,United States,Frequency deviation; Humidity; Relative humidity; Materials science; Radio-frequency identification; Electronic engineering; Item-level tagging; Chipless RFID; Ubiquitous sensing; Microwave; Optoelectronics,,10.1109/jsen.2013.2278560,152
023-781-912-008-005,Development of Eco-Efficient Smart Electronics for Anticounterfeiting and Shock Detection Based on Printable Inks,2021,journal article,ACS,United States,Electronics; Nanotechnology; Materials science; Shock (mechanics),,10.1021/acssuschemeng.1c02348,27
